"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Add Product to Cart","Logged user could add different products to Shopping cart from the product page","0","0","1","0","0"
"","Change Currency","Logged User could switch between currencies US-Euro","0","0","1","0","0"
"","User Login","User could log in with valid email and password","0","0","1","0","0"
"","Create Order","User can create successful Order","0","0","1","0","0"
"","Add Product to Wishlist","Logged user could add different products to Wishlist","0","0","1","0","0"
"","Product Color Filter","Logged user could select different Categories","0","0","1","0","0"
"","Add Product to Wishlist","Logged user could add different products to Wishlist from the product page","0","0","1","0","0"
"","Product Tags","Logged user could select different tags from side menu","0","0","1","0","0"
"","Add Product to Cart","Logged user could add different products to Shopping cart","0","1","0","0","0"
"","Resting Password","User could reset his/her password successfully","0","0","1","0","0"
"","Add Products to Compare List","Logged user could add different products to compare list","0","0","1","0","0"
"","User Registration","User could register with valid data","0","0","1","0","0"
"","Product Search","Logged User could search for any product","0","0","1","0","0"
"","Select different categories","Logged user could select different Categories","0","0","1","0","0"
"","Product Tags","Logged user could select different tags from tags page","0","0","1","0","0"
